source,1,2,3,4,5,6,7,8,9,10,11,12
蘋果日報,0.0,152.64711111480332,142.12065052419166,130.14416153512911,117.93828585594419,107.95167307139378,99.94908472113926,93.30570304463471,87.50594990714617,82.18988837159581,77.97843709281744,77.1639288987501,
HKG報 HKGpao,0.0,34.51323052131672,33.18616010395882,31.701457789349977,30.545647637004222,29.305542148259462,28.143574464245223,27.085392438312528,26.07458017895722,24.955795099382097,24.29022534021554,23.079151046066304,
明報即時新聞,0.0,28.33710118056484,25.202533127413577,22.345668853231313,20.4493014943668,18.938120504179874,17.631703501340056,16.681552830447547,15.809075907859777,15.031028547755877,14.41278120133171,14.242028562364702,
有線新聞 i-Cable News,0.0,13.86306257855611,11.511472706706474,10.586647490727144,9.79334692221627,9.040148557350133,8.374315445031764,7.943239689379671,7.4776613001892125,7.1015969482888375,6.760791228397172,6.541898766723052,
LinePost 線報,0.0,10.307182979280489,9.704753057821518,8.44604328380087,7.914766260451609,7.361917512589015,6.7368782375936345,6.26945345009028,5.848203993578395,5.505029777276746,4.997783742692204,4.7621593290753985,
香港電台視像新聞 RTHK VNEWS,0.0,14.757266927174852,11.917143835903724,10.203152973358097,9.419786339924396,8.87434053778293,8.344723692731726,7.871485593963624,7.407558424747802,6.980704164795358,6.660812131375263,6.472065892415424,
蘋果日報即時新聞,0.0,53.717379430785094,49.35189497023327,46.24539938550069,42.57468142848061,39.27513892373666,36.29439187136606,33.989536145445726,32.091316537487025,30.567991087559793,29.2391755692409,28.28329394368026,
雅虎香港新聞,0.0,22.03286535473783,19.83272990301611,18.240499563721873,16.840528664285202,16.048849024445932,15.08412226279677,14.281722845395372,13.62817383740941,12.970953886723,12.421371152934928,11.934493540673486,
Stand News 立場新聞,0.0,32.02148060147547,27.356426803256973,24.510761042204212,22.236629585311064,20.529330980049227,19.086862484729537,17.838001995101077,16.690419336428253,15.82673903299558,15.052716550782797,14.52849762150405,
Hong Kong Free Press HKFP,0.0,9.56563261416444,7.873325905163972,7.272793555883508,6.953053544172504,6.614221647831963,5.548043837114988,5.261432378404141,4.959216918448031,4.53093917181718,4.294293025978397,4.0928146263968745,
on.cc 東網／東方日報,0.0,28.934603451876292,25.74750193318215,23.50157878547637,21.640548437624002,20.25047843029207,19.255171050911617,18.411770886991913,17.723201053951048,17.130255168675138,16.627109208835822,16.096314352688417,
01新聞,0.0,16.279606652830722,12.91747002757248,10.263936467941292,9.176023708759887,8.465512542024713,7.968409384803608,7.530651241424124,7.165831464156862,6.857290612609768,6.610962785502187,6.56359682745923,
現場 － 蘋果突發,0.0,48.78391956499031,42.42480809024717,38.104035333910254,34.65247870798516,31.958960452924362,29.83179431919347,27.982807863346803,26.295767713163894,24.804721384684644,23.608457328732428,22.76765257225628,
謎米香港 memehk.com,0.0,17.53583534898286,15.167510752373694,13.687510025047935,12.638664222667417,11.564504943856946,11.21022628322761,10.317041217547189,9.64040780852894,9.079395136028594,8.574181136341151,8.447888285526254,
香港獨立媒體網,0.0,12.973788460548832,11.93328516471562,11.481857946064737,11.008693451241472,10.387375561360479,9.673161188038035,9.09697634135437,8.63185341613122,8.214388368371507,7.835462424600191,7.674726178800183,
信報財經新聞 hkej.com,0.0,9.816061460942093,8.099923040988156,7.149891815626252,6.530931443500267,5.9997877004961815,5.53384702125026,5.144392856211035,4.84551927646604,4.607021811577752,4.392223197910468,4.242811216163682,
South China Morning Post,0.0,31.31243622931388,31.672443926641844,31.47627142826311,31.168853770235245,30.66537480268014,29.975457140478934,29.339405979675888,28.679411280062016,28.094681836899532,27.54921126270775,30.53274828577349,
時聞香港,0.0,19.888600709918084,19.5129120616247,19.040910838477565,18.561844174991354,18.13376064188198,17.627069763047874,17.131047179649688,16.57732182426914,15.997554714298571,15.530989291299063,14.881701176658622,
852郵報,0.0,11.068208606735524,10.251159236705792,9.715596603633049,9.332837909418163,8.808555434244777,8.54821804648627,8.143266537111609,7.72392910485514,7.323133687766347,6.974021399464079,6.643633885163569,
頭條日報,0.0,7.625062659173049,6.924800570947987,6.701913552097059,6.344002794141676,6.0735729805395655,5.800975638867645,5.549431117156236,5.33859741059679,5.152729420858975,4.97822816906741,4.862039319335681,
Mingpao Investigative Team (明報偵查報道),0.0,5.972742937050817,5.79850355200572,5.276726696804407,5.195843625784612,5.117934297899944,5.129095245450357,5.121755673072385,5.045957923385199,4.969446501449082,4.899347952151344,4.784637046672719,
明周娛樂 Ming Pao Weekly,0.0,9.375066834400425,8.850403300525468,8.5463904547165,8.269655985465123,7.968139279814313,7.747103409642892,7.495720930375128,7.2738250746732795,7.160194242972101,7.037610922587326,6.984060229870454,
東網巨星,0.0,14.465677107375676,12.907745454411506,11.691782130583691,10.78535127688694,10.229560528052085,9.771267856261797,9.422615644518041,9.067906933002142,8.773528978859785,8.543780013587009,8.347804956097733,
香港經濟日報 hket.com,0.0,7.186198798330743,6.4218950814088,5.547527741485679,5.056769577885648,4.704896659819163,4.362570000740723,4.130873505766235,3.9444989890149085,3.753424114900674,3.5048889649914847,2.6739505490213253,
am730,0.0,14.088614890099874,13.839449721348881,13.31447719838633,13.320286979012415,12.82227413191788,12.791754134656289,12.754922484922618,12.651433732163166,12.549262794815245,12.505404664641942,12.758861998930573,
壹週刊,0.0,22.317785488241274,19.77066644476182,12.75429899038593,11.980329824196792,11.312400522455688,10.743148967336781,10.336326003402863,9.994912794215624,9.708011250633662,9.55670314955544,9.508912299295174,
大紀元時報（香港）,0.0,1.6922850975737584,1.1949996696393401,0.9851310271507568,0.891778135150398,0.8288453957347188,0.7695944332373986,0.7256028219687103,0.6848166432376522,0.6538286233259281,0.6249956721783382,0.6035096255899801,
香港輕新聞 LiteNews.hk,0.0,1.7079032872044995,1.363804886380725,1.337572114297335,1.2688430257329644,1.1950649884394569,1.1135643793492571,1.0717556929748797,1.0539624703222192,1.0327285035977163,1.0039494272164913,0.9864489342755094,
突發最前線,0.0,1.9950107191650404,1.5542152522477701,1.3596313918957794,1.2273836048900826,1.1783219217485528,1.1158236952359049,1.0806237263730198,1.0332209368579106,0.9885340013659574,0.941640918476914,0.8579040534612871,
EJ Insight,0.0,2.4800822803396527,2.0175165714036405,1.8438401771915516,1.7798470989320891,1.6893945572429578,1.6109521821249662,1.5637368719480993,1.5173318910985683,1.4792778553863246,1.4195235016847183,1.3714560867547443,
The Standard 英文虎報,0.0,5.1736471961444845,5.7723568571802515,4.6839187781102485,4.066997812100833,3.4681782218532633,3.2303742606094494,2.9325675180455386,2.666004687163973,2.3963937479309245,2.2001095958963304,2.0046917639698956,
StartupBeat,0.0,2.5114820125657555,2.2001601149341363,2.17250000803595,2.0270839606709616,1.8721014283400834,1.7165695546225337,1.6104641887360107,1.5006340868759274,1.3978070063662391,1.2758548158536784,1.2506146967962195,
Metro Daily Hong Kong《都市日報》,0.0,67.04885878338072,58.84404877251692,52.91345839152997,49.21953115924204,45.59503575522584,42.56666450014322,40.709383585500376,38.82760090987454,37.309852629099886,35.72664400000671,35.33546053295809,
果籽,0.0,28.106655237282343,31.820189618322427,32.05232171751218,31.915154174405863,31.860501721041345,31.49384507726089,30.924319988649696,30.461452584213355,29.831569732867422,29.367070473192125,28.772572716914283,
晴報 Sky Post,0.0,30.684213101487337,30.894147033678472,28.18061426794178,25.32276787492881,22.973440188464505,21.242123360762314,18.26674785749644,18.50190426266402,17.517257916867052,16.5515873437157,15.909377751924563,
信報手筆 hkej.com,0.0,1.1793105637188106,0.8460807026547731,0.7276831979223247,0.7666690736761649,0.7564406547796422,0.6801210136036093,0.609165952687179,0.5479547453980613,0.4989729155718727,0.46286429399621526,0.4358189706047406,
明周文化 Ming Pao Weekly,0.0,3.197414810536804,2.613769133561331,2.3264497823386585,2.195825262119644,2.3771928171149534,2.4079562206330265,2.375169473540335,2.2788567560880657,2.1539894489470797,2.0546226737106417,1.9720934698889663,
Lifestyle Journal 優雅生活,0.0,1.054032278585199,0.8783352631828503,0.6884977159150034,0.6447318551858945,0.605756206782179,0.585540322329453,0.5615997215847415,0.5402223862899869,0.5199959623917195,0.49320817401555433,0.48818032552154866,
港股360 stock360.hkej.com,0.0,0.27613367402538214,0.24835504971835579,0.23745965789516033,0.2229840152327175,0.1980336103242308,0.17965584695450262,0.1586648157516778,0.13893558703660805,0.12284298109259466,0.10943370687613943,0.09857101141760347,
明報副刊,0.0,3.3588248416235995,2.4665547140466946,1.9698550772974956,1.7848982754187186,1.6418359279592962,1.5791535047426148,1.4783856567891778,1.4136839530864636,1.372527822675269,1.317520243297441,1.2704175225882555,
明報突發組,0.0,2.83963548602397,2.09924241717188,1.8533933459766827,1.6761313394558865,1.5946535445967207,1.49270344074354,1.4655827632528602,1.5002617652688095,1.5399215313071528,1.6335959449829123,1.713518466493375,
星期日生活 Sunday Mingpao,0.0,3.8761039816823364,3.656576919099557,3.6995225269558465,3.7790615642387064,3.78384103301459,3.7808429705866367,3.585158851882786,3.410907751245021,3.229360363492449,3.096154402990774,3.044514800211169,
信報教育,0.0,0.9595193389681275,0.8319395652841646,0.7127561927997059,0.7841241693842103,0.7325453221882438,0.6882330637150866,0.6458423178029646,0.6304509278684425,0.5924681133368285,0.5694671412330067,0.5470771943673987,
明報體育,0.0,9.970714096809587,8.40191186799796,7.482108616847489,6.668086255849094,6.232293182869648,5.873433112463504,5.623517859822944,5.400161695639896,5.146119671201257,4.918626715774594,4.38337779725271,
信報通識 iknow.hkej.com,0.0,1.9639610121239315,1.0932694522568966,0.7039345207644028,0.48911971462832615,0.3674618112155824,0.3213718770861886,0.29655137290063593,0.2874122824547223,0.29786653752809183,0.32305319052509895,0.32449799790801487,
商台新聞,0.0,2.5506602497814326,1.7975405989396778,1.3471276275654858,1.1497672780789638,1.014680824955254,0.9105761865798762,0.8542302930334146,0.7882935175604995,0.7297068382034718,0.699416129776924,0.65736295542029,
新聞刺針,0.0,20.88997149569403,21.829166269008077,21.900583221789905,22.34581921442211,22.773826154158836,23.17139594374953,22.77409284214352,22.021215493662716,21.380527745863393,20.784612221156824,20.047186664222547,
信報財經月刊,0.0,4.245148552392961,3.743835512923356,4.1928505185630565,4.148069548387643,4.025798524058987,3.897365710258181,3.8420673661185654,3.6883488269473377,3.5754015662897793,3.4407167219444443,3.256189726120316,
